Chemical name 	CAS RN	smiles	End Points (pLC50,mg/L )	End Points (LC50,mg/L )	End points annotation	Species	Reference	html
Abietic acid	514-10-3	O=[C@](O)[C@@]3(C)[C@@]1([H])[C@@](CCC3)(C)[C@]2([H])C(C=[C@@]([C@@H](C)C)CC2)=CC1	0.376576957	2.38	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Flavone	525-82-6	C1=CC=CC=C1C2=CC(=O)C3=CC=CC=C3O2	0.544068044	3.5	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4,6-Trimethylphenol	527-60-6	OC1=C(C)C=C(C)C=C1C	1.113943352	13	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
o-Tolunitrile	529-19-1	C1(C#N)=CC=CC=C1C	1.650307523	44.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
o-Tolualdehyde	529-20-4	C1(C=O)=C(C)C=CC=C1	1.723455672	52.9	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Benzoic acid, sodium salt	532-32-1	C1(=CC=CC=C1)C(=O)O	2.684845362	484	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4,6-Dinitro-o-cresol	534-52-1	OC1=C(C)C=C([N+]([O-])=O)C=C1[N+]([O-])=O	0.238046103	1.73	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Amylbenzene	538-68-1	C1=CC=CC=C1CCCCC	0.23299611	1.71	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
tert-Butyl aceate	540-88-5	O=C(OC(C)(C)C)C	2.514547753	327	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,3-Dichlorobenzene	541-73-1	ClC1=CC(Cl)=CC=C1	0.904715545	8.03	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,3-Dichloropropene	542-75-6	Cl\C=C\CCl	-0.621602099	0.239	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
n-Butyl sulfide	544-40-1	CCCCSCCCC	0.553883027	3.58	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2'-Hydroxy-4'-methoxyacetophenone	552-41-0	C1(O)=CC(OC)=CC=C1C(=O)C	1.841984805	69.5	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
o-Nitrobenzaldehyde	552-89-6	C1(C=O)=C([N+]([O-])=O)C=CC=C1	1.158362492	14.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Nitrobenzaldehyde	555-16-8	O=CC1=CC=C([N+](=O)[O-])C=C1	1.004321374	10.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3-Methyl-2-butanone	563-80-4	CC(=O)C(C)C	2.936513742	864	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,6-Dinitrophenol	573-56-8	OC1=C([N+]([O-])=O)C=CC=C1[N+]([O-])=O	1.598790507	39.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,2-Dibromobenzene	583-53-9	BrC1=C(Br)C=CC=C1	0.607455023	4.05	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
N-Allylaniline	589-09-3	C=CCNC1=CC=CC=C1	1.555094449	35.9	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Ethylaniline	589-16-2	NC1=CC=C(CC)C=C1	1.86332286	73	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Isovaleraldehyde	590-86-3	CC(C)CC=O	0.511883361	3.25	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Hexanone	591-78-6	CCCCC(=O)C	2.631443769	428	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4-Hexadiene	592-46-1	CC=CC=CC	1.301029996	20	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Tridecanone	593-08-8	CCCCCCCCCCCC(=O)C	-0.443697499	0.36	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Manool	596-85-0	[H][C@]1(CC2)C(C)(C)CCC[C@@](C)1[C@@H](CC[C@@](O)(C)C=C)C2=C	-0.920818754	0.12	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,2-Dimethylpropylamine	598-74-3	CC(C)C(C)N	2.45331834	284	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4-Dimethyl-3-pentanol	600-36-2	CC(C)C(O)C(C)C	2.212187604	163	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
N,N-Diphenylformamide	607-00-1	C1=CC=CC=C1N(C2=CC=CC=C2)C=O	1.482873584	30.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Diethyl benzylmalonate	607-81-8	CCOC(=O)C(CC1=CC=CC=C1)C(=O)OCC	0.73479983	5.43	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Pentabromophenol	608-71-9	OC1=C(Br)C(Br)=C(Br)C(Br)=C1Br	-1.031517051	0.093	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4,6-Triiodophenol	609-23-4	OC1=C(I)C=C(I)C=C1I	0.08278537	1.21	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4-Dimethoxybenzaldehyde	613-45-6	C1(C=O)=C(OC)C=C(OC)C=C1	1.303196057	20.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Acetamidophenol	614-80-2	OC1=C(NC(=O)C)C=CC=C1	1.431363764	27	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Chloro-4-methylaniline	615-65-6	NC1=C(Cl)C=C(C)C=C1	1.555094449	35.9	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Ethoxy-2-nitroaniline	616-86-4	NC1=C([N+]([O-])=O)C=C(OCC)C=C1	1.414973348	26	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Methyl p-nitrobenzoate	619-50-1	C1=CC([N+](=O)[O-])=CC=C1C(=O)OC	1.376576957	23.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Nitrobenzamide	619-80-7	C1=CC([N+]([O-])=O)=CC=C1C(=O)N	2.123851641	133	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Nitrophenyl phenyl ether	620-88-2	C1=CC=CC=C1OC2=CC=C([N+](=O)[O-])C=C2	0.423245874	2.65	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Benzyl sulfoxide	621-08-9	C1=CC=C(CS(=O)CC2=CC=CC=C2)C=C1	1.903632516	80.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3-Acetamidophenol	621-42-1	OC1=CC(NC(=O)C)=CC=C1	3.053078443	1130	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-(2-Hydroxyethyl)morpholine	622-40-2	OCCN1CCOCC1	3.432969291	2710	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
alpha,alpha'-Dichloro-p-xylene	623-25-6	ClCC1=CC=C(CCl)C=C1	-1.408935393	0.039	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,5-Dimethylfuran	625-86-5	O1C(C)=CC=C1C	1.851869601	71.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,5-Dichloropentane	628-76-2	ClCCCCCCl	1.403120521	25.3	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Bromoheptane	629-04-9	BrCCCCCCC	0.167317335	1.47	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Propyl disulfide	629-19-6	CCCSSCCC	0.418301291	2.62	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,6-Dicyanohexane	629-40-3	N#CCCCCCCC#N	2.722633923	528	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,3,4-Trichloroaniline	634-67-3	NC1=C(Cl)C(Cl)=C(Cl)C=C1	0.561101384	3.64	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
5-Chlorosalicylaldehyde	635-93-8	C1(C=O)=C(O)C=CC(Cl)=C1	-0.113509275	0.77	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Propylphenol	645-56-7	OC1=CC=C(CCC)C=C1	1.041392685	11	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Pentafluorobenzaldehyde	653-37-2	C1(C=O)=C(F)C(F)=C(F)C(F)=C1F	0.041392685	1.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,2-Dichloroacetamide	683-72-7	C(Cl)(Cl)C(=O)N	2.382017043	241	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Methyl heptylamine	693-16-3	CCCCCCC(C)N	0.715167358	5.19	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Decanone	693-54-9	CC(=O)CCCCCCCC	0.683947131	4.83	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Pentyl ether	693-65-2	CCCCCOCCCCC	0.496929648	3.14	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Methyloxazole	693-93-6	CC1=COC=N1	3.1430148	1390	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Methylimidazole	693-98-1	CC1=NC=CN1	2.456366033	286	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Adamantanone	700-58-3	O=C1C3CC2CC1CC(C3)C2	1.783903579	60.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
gamma-Decanolactone	706-14-9	CCCCCCC1OC(=O)CC1	1.255272505	18	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4,6-Dimethoxy-2-hydroxybenzaldehyde	708-76-9	C1(C=O)=C(O)C=C(OC)C=C1OC	0.428134794	2.68	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Propanil	709-98-8	C1=C(Cl)C(Cl)=CC=C1NC(=O)CC	0.934498451	8.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4,6-Tri-tert-butylphenol	732-26-3	OC1=C(C=C(C=C1C(C)(C)C)C(C)(C)C)C(C)(C)C	-1.215382707	0.0609	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3,4-Dichloro-1-butene	760-23-6	C=CC(Cl)C(Cl)	0.912753304	8.18	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
N,N-Dibutylformamide	761-65-9	C(=O)N(CCCC)CCCC	1.950851459	89.3	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Butyn-1-ol	764-01-2	C(O)C#CC	1.004321374	10.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,5-Dimethyl-2,4-hexadiene	764-13-6	CC(C)=CC=C(C)C	0.5774918	3.78	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Adamantanamine	768-94-5	NC13CC(CC(C3)C2)CC2C1	1.397940009	25	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3-Cyano-4,6-dimethyl-2-hydroxypyridine	769-28-8	N1=C(O)C(C#N)=C(C)C=C1C	2.195899652	157	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,3,4,5,6-Pentafluoroaniline	771-60-8	NC1=C(F)C(F)=C(F)C(F)=C1F	1.56937391	37.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Triphenylphosphine oxide	791-28-6	C1=CC=CC=C1P(=O)(C2=CC=CC=C2)C3=CC=CC=C3	1.729974286	53.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Hydroxyethyl acrylate	818-61-1	C=CC(=O)OCCO	0.681241237	4.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Octyn-3-ol	818-72-4	C#CC(O)CCCCC	-0.384049948	0.413	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Nonanone	821-55-6	CCCCCCCC(=O)C	1.181843588	15.2	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
trans-1,2-Dichlorocyclohexane	822-86-6	Cl[C@@H]1CCCC[C@H]1Cl	1.264817823	18.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
p-Phenoxyphenol	831-82-3	C1=CC=CC=C1OC2=CC=C(O)C=C2	0.694605199	4.95	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Hydroxyethyl methacrylate	868-77-9	C=C(C)C(=O)OCCO	2.356025857	227	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3-Bromothiophene	872-31-1	C1(Br)=CSC=C1	0.791690649	6.19	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4-Dichlorobenzaldehyde	874-42-0	O=CC1=C(Cl)C=C(Cl)C=C1	0.255272505	1.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Ethyl 3-aminobenzoate methansulfonic acid salt	886-86-2	O=C(OCC)C1=CC(N)=CC=C1	1.897627091	79	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,1,1,3,3,3-Hexafluoro-2-propanol	920-66-1	C(F)(F)(F)C(O)C(F)(F)(F)	2.387389826	244	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,5-Hexadien-3-ol	924-41-4	C=CC(O)CC=C	1.580924976	38.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
cis-3-Hexen-1-ol	928-96-1	CC\C=C/CCO	2.580924976	381	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
trans-3-Hexen-1-ol	928-97-2	CC/C=C/CCO	2.432969291	271	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Acetyl-1-methylpyrrole	932-16-1	CN1C(C(=O)C)=CC=C1	2.195899652	157	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Phenylpyridine	939-23-1	N1=CC=C(C2=CC=CC=C2)C=C1	1.206825876	16.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Phenyl sulfoxide	945-51-7	C1=CC=CC=C1S(=O)C2=CC=CC=C2	1.941014244	87.3	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Hydroxypropyl acrylate	999-61-1	C=CC(=O)OCC(O)C	0.523746467	3.34	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Amino-5-bromopyridine	1072-97-5	N1=C(N)C=CC(Br)=C1	2.247973266	177	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Diethyl benzylphosphonate	1080-32-6	CCOP(=O)(CC1=CC=CC=C1)OCC	2.526339277	336	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Acetyl pyridine	1122-54-9	N1=CC=C(C(=O)C)C=C1	2.225309282	168	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Methyl p-nitrobenzoate	1126-46-1	C1=CC(Cl)=CC=C1C(=O)OC	1.041392685	11	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Butyl phenyl ether	1126-79-0	CCCCOC1=CC=CC=C1	0.761175813	5.77	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Methyl 4-cyanobenzoate	1129-35-7	C1=CC(C#N)=CC=C1C(=O)OC	1.670245853	46.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Tetrachlorocatechol	1198-55-6	OC1=C(O)C(Cl)=C(Cl)C(Cl)=C1Cl	0.103803721	1.27	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
alpha-Bromo-2',5'-dimethoxyacetophenone	1204-21-3	C1=C(C(=O)CBr)C(OC)=CC=C1OC	-1.180456064	0.066	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3,4-Dimethyl-1-pentyn-3-ol	1482-15-1	C#CC(C)(O)C(C)C	2.311753861	205	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
N-Vinylcarbazole	1484-13-5	C1=CC=C2C3=CC=CC=C3N(C2=C1)C=C	-2.494850022	0.0032	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3-Benzyloxyaniline	1484-26-0	C1=C(N)C=CC=C1OCC2=CC=CC=C2	0.960946196	9.14	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Carbofuran	1563-66-2	O=C(NC)OC1=CC=CC(C2)=C1OC2(C)C	-0.073657553	0.844	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
tert-Butyl methyl ether	1634-04-4	CC(OC)(C)C	2.827369273	672	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,9-Decadiene	1647-16-1	C=CCCCCCCC=C	-0.537602002	0.29	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
p-Phenylazophenol	1689-82-3	C1=CC(O)=CC=C1/N=N/C2=CC=CC=C2	0.068185862	1.17	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3,5-Diiodo-4-hydroxybenzonitrile	1689-83-4	C1=C(I)C(O)=C(I)C=C1C#N	0.832508913	6.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3,5-Dibromo-4-hydroxybenzonitrile	1689-84-5	C1=C(Br)C(O)=C(Br)C=C1C#N	1.100370545	12.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Dehydroabietic acid	1740-19-8	O=[C@](O)[C@@]3(C)[C@@]2([H])[C@@](CCC3)(C)C1=C(CC2)C=[C@@]([C@@H](C)C)C=C1	0.322219295	2.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
